Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,42.73798704147339,295,0,127925,0,2287,54,433.64406779661016,704.9014539302245,0,0,0,0,2993.2387755150994,6.902524438358056,0.14536730286215438,0.29577040448812264,0.9955179691314697,1.0013580322265625e-05,42.73798704147339,0.14536730286215438,0.29577040448812264,0.9955179691314697,1.0013580322265625e-05,0,0,0,0,0,175,0,0,0,117895,0,6.902524438358056,0.0,54,2287,433.64406779661016,704.9014539302245,496886.05975294445,1,0,1,175,295,0,0,0,0.0,433.64406779661016,433.64406779661016,0.0,117895,0,0,0,0,0,0,295,127925,0,0,253,0,295,54,0,0,0,0,0,0,0,0
48007,84.53229808807373,26667,0,29341215,0,1252,72,1100.2818089773878,343.77648813114774,0,0,0,0,347100.64275585586,315.4652198407738,0.003170040429313498,0.009536052397889619,0.06499886512756348,9.775161743164062e-06,84.53229808807373,0.003170040429313498,0.009536052397889619,0.06499886512756348,9.775161743164062e-06,0,0,0,0,0,0,0,0,0,28434537,0,315.4652198407738,0.0,72,1252,1100.2818089773878,343.77648813114774,118182.27379178516,0,0,0,0,0,0,0,0,0.0,1100.2818089773878,1100.2818089773878,0.0,28434537,0,0,0,0,0,0,26667,29341215,0,0,0,0,26667,72,0,0,0,0,0,0,0,0
56559,84.4955050945282,8303,0,5640550,0,1252,72,679.3387932072745,485.8425890291524,0,0,0,0,66755.62201432741,98.265582183468,0.010177728871901734,0.013162248378364423,0.0645301342010498,0.0,84.4955050945282,0.010177728871901734,0.013162248378364423,0.0645301342010498,0.0,0,0,0,0,0,0,0,0,0,5358248,0,98.265582183468,0.0,72,1252,679.3387932072745,485.8425890291524,236043.0213145499,0,0,0,0,0,0,0,0,0.0,679.3387932072745,679.3387932072745,0.0,5358248,0,0,0,0,0,0,8303,5640550,0,0,0,0,8303,72,0,0,0,0,0,0,0,0
65138,42.75800395011902,305,0,60131,0,488,54,197.15081967213115,183.6605837960659,0,0,0,0,1406.3098003861012,7.133167403132508,0.14065132878328623,0.3379207037528972,1.1531000137329102,0.0,42.75800395011902,0.14065132878328623,0.3379207037528972,1.1531000137329102,0.0,0,0,0,0,0,246,0,0,0,49761,0,7.133167403132508,0.0,54,488,197.15081967213115,183.6605837960659,33731.210040311744,1,0,0,246,305,0,0,0,0.0,197.15081967213115,197.15081967213115,0.0,49761,0,0,0,0,0,0,305,60131,0,0,163,0,305,54,0,0,0,0,0,0,0,0
51185,81.57271814346313,26,0,3887,0,1037,65,149.5,184.26219821848346,0,0,0,0,47.65073530054345,0.3187340153882505,3.262908725738525,4.693404337100997,11.783946990966797,0.0,81.57271814346313,3.262908725738525,4.693404337100997,11.783946990966797,0.0,0,0,0,0,0,0,0,0,0,3003,0,0.3187340153882505,0.0,65,1037,149.5,184.26219821848346,33952.557692307695,0,0,0,0,0,0,0,0,0.0,149.5,149.5,0.0,3003,0,0,0,0,0,0,26,3887,0,0,0,0,26,65,0,0,0,0,0,0,0,0
443,0.15131092071533203,3,0,437,0,286,74,145.66666666666666,99.23820948718404,0,0,0,0,437.0,3.0,0.07565546035766602,0.03222846984863281,0.10788393020629883,0.0434269905090332,0.15131092071533203,0.07565546035766602,0.03222846984863281,0.10788393020629883,0.0434269905090332,0,0,0,0,0,0,0,0,0,335,0,3.0,0.0,74,286,145.66666666666666,99.23820948718404,9848.222222222223,0,0,0,0,0,0,0,0,0.0,145.66666666666666,145.66666666666666,0.0,335,0,0,0,0,0,0,3,437,0,0,0,0,3,74,0,0,0,0,0,0,0,0
443,81.57566499710083,22,0,3301,0,619,75,150.04545454545453,160.83969356099067,0,0,0,0,40.4654991181171,0.2696882704024769,3.8845554760524204,4.896611371966946,11.721107959747314,0.05329608917236328,81.57566499710083,3.8845554760524204,4.896611371966946,11.721107959747314,0.05329608917236328,0,0,0,0,0,0,0,0,0,2553,0,0.2696882704024769,0.0,75,619,150.04545454545453,160.83969356099067,25869.407024793385,0,0,0,0,0,0,0,0,0.0,150.04545454545453,150.04545454545453,0.0,2553,0,0,0,0,0,0,22,3301,0,0,0,0,22,75,0,0,0,0,0,0,0,0
51995,0.17261195182800293,4,0,310,0,109,63,77.5,18.472953201911167,0,0,0,0,310.0,4.0,0.05753731727600098,0.041179839840912634,0.0941009521484375,0.0,0.17261195182800293,0.05753731727600098,0.041179839840912634,0.0941009521484375,0.0,0,0,0,0,0,0,0,0,0,174,0,4.0,0.0,63,109,77.5,18.472953201911167,341.25,0,0,0,0,0,0,0,0,0.0,77.5,77.5,0.0,174,0,0,0,0,0,0,4,310,0,0,0,0,4,63,0,0,0,0,0,0,0,0
40003,80.39160203933716,9,0,558,0,62,62,62.0,0.0,0,0,0,0,6.941023512965445,0.11195199214460394,10.048950254917145,0.014155333230891406,10.07773208618164,10.031320095062256,80.39160203933716,10.048950254917145,0.014155333230891406,10.07773208618164,10.031320095062256,0,0,0,0,0,0,0,0,0,252,0,0.11195199214460394,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,252,0,0,0,0,0,0,9,558,0,0,0,0,9,62,0,0,0,0,0,0,0,0
56559,80.3839750289917,9,0,774,0,86,86,86.0,0.0,0,0,0,0,9.628784838282073,0.11196261439862876,10.047996878623962,0.009945720109440033,10.065216064453125,10.031108140945435,80.3839750289917,10.047996878623962,0.009945720109440033,10.065216064453125,10.031108140945435,0,0,0,0,0,0,0,0,0,468,0,0.11196261439862876,0.0,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0.0,468,0,0,0,0,0,0,9,774,0,0,0,0,9,86,0,0,0,0,0,0,0,0
